[*] '/home/tony/Advanced-Programming-in-the-UNIX-Environment/Lab3/gotoku'
    Arch:     amd64-64-little
    RELRO:    Full RELRO
    Stack:    No canary found
    NX:       NX enabled
    PIE:      PIE enabled
main = 0x16c89
Func         GOT Offset Symbol Offset
gop_428      1bbb0      12340     
gop_429      1c0a8      12d3c     
gop_430      1d170      14ec0     
gop_431      1c3b0      13340     
gop_432      1c828      13c30     
gop_433      1ba88      120f0     
gop_434      1bf50      12a80     
gop_435      1d6a8      15930     
gop_436      1dba0      16320     
gop_437      1cd18      14610     
gop_438      1d1a8      14f30     
gop_439      1c400      133e0     
gop_440      1c700      139e0     
gop_441      1deb0      16940     
gop_442      1bdd0      12780     
gop_443      1d4f0      155c0     
gop_444      1d9e0      15fa0     
gop_445      1cc00      143e0     
gop_446      1d078      14cd0     
gop_447      1c2b0      13140     
gop_448      1c760      13aa0     
gop_449      1dee8      169b0     
gop_450      1d3f0      153c0     
gop_451      1d8c8      15d70     
gop_452      1ca60      140a0     
gop_453      1cf18      14a10     
gop_454      1c140      12e60     
gop_455      1c5b0      13740     
gop_456      1dde8      167b0     
gop_457      1bce0      125a0     
gop_458      1d428      15430     
gop_459      1d930      15e40     
gop_460      1d278      150d0     
gop_461      1c4b8      13550     
gop_462      1c938      13e50     
gop_463      1bb50      12280     
gop_464      1c060      12ca0     
gop_465      1d778      15ad0     
gop_466      1dc30      16440     
gop_467      1ce38      14850     
gop_468      1d2b8      15150     
gop_469      1c508      135f0     
gop_470      1ba68      120b0     
gop_471      1bf00      129e0     
gop_472      1d678      158d0     
gop_473      1db40      16260     
gop_474      1ccd8      14590     
gop_475      1d168      14eb0     
gop_476      1c3a8      13330     
gop_477      1c820      13c20     
gop_478      1ba80      120e0     
gop_479      1bf48      12a70     
gop_480      1ca50      14080     
gop_481      1cf20      14a20     
gop_482      1c160      12ea0     
gop_483      1c5e0      137a0     
gop_484      1dd98      16710     
gop_485      1bcb0      12540     
gop_486      1d3d8      15390     
gop_487      1d8d0      15d80     
gop_488      1caa0      14120     
gop_489      1cf58      14a90     
gop_490      1bb68      122b0     
gop_491      1d288      150f0     
gop_492      1d788      15af0     
gop_493      1c940      13e60     
gop_494      1cdf0      147c0     
gop_495      1c050      12c80     
gop_496      1c4c0      13560     
gop_497      1dc88      164f0     
gop_498      1bb98      12310     
gop_499      1d270      150c0     
gop_500      1bd70      126c0     
gop_501      1de60      168a0     
gop_502      1c6b8      13950     
gop_503      1c210      13000     
gop_504      1d000      14be0     
gop_505      1cb70      142c0     
gop_506      1db78      162d0     
gop_507      1d690      15900     
gop_508      1bf38      12a50     
gop_509      1ba58      12090     
gop_510      1cc88      144f0     
gop_511      1daf8      161d0     
gop_512      1d5e8      157b0     
gop_513      1bed0      12980     
gop_514      1dfa8      16b30     
gop_515      1c990      13f00     
gop_516      1c4f0      135c0     
gop_517      1d2a0      15120     
gop_518      1ce18      14810     
gop_519      1dc60      164a0     
gop_520      1d8f0      15dc0     
gop_521      1d210      15000     
gop_522      1bb00      121e0     
gop_523      1dc08      163f0     
gop_524      1c468      134b0     
gop_525      1bff0      12bc0     
gop_526      1cdb8      14750     
gop_527      1c908      13df0     
gop_528      1d920      15e20     
gop_529      1d410      15400     
gop_530      1c0f0      12dc0     
gop_531      1cec0      14960     
gop_532      1ca28      14030     
gop_533      1d860      15ca0     
gop_534      1d350      15280     
gop_535      1bc60      124a0     
gop_536      1dd40      16660     
gop_537      1c748      13a70     
gop_538      1c298      13110     
gop_539      1d060      14ca0     
gop_540      1cb68      142b0     
gop_541      1db70      162c0     
gop_542      1d688      158f0     
gop_543      1bf30      12a40     
gop_544      1ba50      12080     
gop_545      1c850      13c80     
gop_546      1c3d0      13380     
gop_547      1d180      14ee0     
gop_548      1ccf0      145c0     
gop_549      1db88      162f0     
gop_550      1bec8      12970     
gop_551      1dfa0      16b20     
gop_552      1c988      13ef0     
gop_553      1c4e8      135b0     
gop_554      1d298      15110     
gop_555      1ce10      14800     
gop_556      1dc58      16490     
gop_557      1d7a0      15b20     
gop_558      1c078      12cd0     
gop_559      1bb80      122e0     
gop_560      1bfe8      12bb0     
gop_561      1cdb0      14740     
gop_562      1c900      13de0     
gop_563      1d918      15e10     
gop_564      1d408      153f0     
gop_565      1bcc8      12570     
gop_566      1ddc8      16770     
gop_567      1c5f8      137d0     
gop_568      1c170      12ec0     
gop_569      1cf38      14a50     
gop_570      1d858      15c90     
gop_571      1d348      15270     
gop_572      1bc58      12490     
gop_573      1dd38      16650     
gop_574      1c740      13a60     
gop_575      1c290      13100     
gop_576      1d058      14c90     
gop_577      1cbd8      14390     
gop_578      1da30      16040     
gop_579      1d520      15620     
gop_580      1c7d0      13b80     
gop_581      1c318      13210     
gop_582      1d0d0      14d80     
gop_583      1cc20      14420     
gop_584      1db58      16290     
gop_585      1d498      15510     
gop_586      1bd68      126b0     
gop_587      1de58      16890     
gop_588      1c6b0      13940     
gop_589      1c208      12ff0     
gop_590      1d720      15a20     
gop_591      1bf98      12b10     
gop_592      1baa8      12130     
gop_593      1c960      13ea0     
gop_594      1c348      13270     
gop_595      1d108      14df0     
gop_596      1cc80      144e0     
gop_597      1daf0      161c0     
gop_598      1d5e0      157a0     
